internship_title,organization,skills_required,min_gpa,qualification,location,deadline,application_link,internship_url,source,description,stipend,duration,status
NITI Aayog Internship Scheme,NITI Aayog,"Policy research, Data analysis, Report writing, MS Office, Excel, Economic modelling",0.0,Engineering,"Headquarters, New Delhi",,https://workforindia.niti.gov.in/intern/InternshipEntry/PCInternshipEntry.aspx,https://workforindia.niti.gov.in/intern/InternshipEntry/PCInternshipEntry.aspx,Policy & Ministries,NITI Aayog Internship Scheme at NITI Aayog. Applications open every month on the online portal,Unpaid,1–3 months,Open
MEA Internship Programme — Political Division,MEA (Ministry of External Affairs),"Research writing, Geopolitical analysis, English drafting, Knowledge of foreign affairs",0.0,"International Relations, Political Science, History, Law",HQ New Delhi — Political Division,,https://internship.mea.gov.in/internship,https://internship.mea.gov.in/internship,Policy & Ministries,MEA Internship Programme — Political Division at MEA (Ministry of External Affairs). Term I: Apr–Sep; Term II: Oct–Mar; 2026 Term I notice released Feb 9 2026,Unpaid,2–6 months (Term-based),Open
MEA Internship Programme — Economic Division,MEA (Ministry of External Affairs),"Trade policy analysis, Economic research, Report writing, Excel, data tools",0.0,"Economics, International Trade, Finance, Commerce",HQ New Delhi — Economic Division,,https://internship.mea.gov.in/internship,https://internship.mea.gov.in/internship,Policy & Ministries,MEA Internship Programme — Economic Division at MEA (Ministry of External Affairs). Apply at internship.mea.gov.in,Unpaid,2–6 months (Term-based),Open
MEA Internship Programme — Legal Division,MEA (Ministry of External Affairs),"International law, Treaty drafting, Legal research, Documentation",0.0,LLB,HQ New Delhi — Legal & Treaties Division,,https://internship.mea.gov.in/internship,https://internship.mea.gov.in/internship,Policy & Ministries,MEA Internship Programme — Legal Division at MEA (Ministry of External Affairs). Apply at internship.mea.gov.in,Unpaid,2–6 months (Term-based),Open
MEA Internship Programme — Public Diplomacy,MEA (Ministry of External Affairs),"Content writing, Social media, Communication strategy, Translation",0.0,"Mass Communication, Journalism, Political Science, Literature",HQ New Delhi — Public Diplomacy Division,,https://internship.mea.gov.in/internship,https://internship.mea.gov.in/internship,Policy & Ministries,MEA Internship Programme — Public Diplomacy at MEA (Ministry of External Affairs). Apply at internship.mea.gov.in,Unpaid,2–6 months (Term-based),Open
DPIIT Internship Scheme,DPIIT,"Industrial policy research, Data analysis, Report writing, MS Office, Startup, IP knowledge",0.0,MBA,New Delhi,,https://apps.dpiit.gov.in/internship/,https://apps.dpiit.gov.in/internship/,Policy & Ministries,DPIIT Internship Scheme at DPIIT. Online application portal; covers DIPP and startup/IP domains,Unpaid,2–3 months,Open
Digital India Internship Scheme 2025 (Summer Batch),MeitY,"Software development, Python, Java, Cybersecurity basics, AI, ML, Cloud computing, Data analysis",0.0,"CS, IT, ECE, Data Science, AI/ML, Cybersecurity",New Delhi,,https://intern.meity.gov.in/schedules,https://intern.meity.gov.in/schedules,Policy & Ministries,Digital India Internship Scheme 2025 (Summer Batch) at MeitY. Summer 2025 batch: Apr 4–Jun 15 2025; next cycle expected 2026,Paid (Stipend available),2 months (Summer),Open
MeitY Technical Internship Programme 2025,MeitY,"AI, ML, Software engineering, Cybersecurity, Cloud, Data science, Python",0.0,"CS, IT, ECE, Data Science, AI",Hybrid,,https://www.meity.gov.in/offerings/schemes-and-services/details/technical-internship-programme-2025-UjN5IjMtQWa,https://www.meity.gov.in/offerings/schemes-and-services/details/technical-internship-programme-2025-UjN5IjMtQWa,Policy & Ministries,MeitY Technical Internship Programme 2025 at MeitY. Listed under offerings on meity.gov.in,Paid,3–6 months,Open
ISRO Internship / Student Project Trainee — VSSC,ISRO,"Aerodynamics, Structural analysis, Propulsion, Embedded systems, C++, MATLAB, CAD tools",0.0,Engineering,"VSSC — Vikram Sarabhai Space Centre, Thiruvananthapuram",,https://www.isro.gov.in/InternshipAndProjects.html,https://www.isro.gov.in/InternshipAndProjects.html,Space & Science,ISRO Internship / Student Project Trainee — VSSC at ISRO. Launch vehicle technology focus; apply via VSSC directly,Unpaid (most schemes),1–6 months,Open
ISRO Internship / Student Project Trainee — SAC,ISRO,"Satellite communications, Antenna design, Remote sensing, GIS, Python, MATLAB, Signal processing",0.0,Engineering,"SAC — Space Applications Centre, Ahmedabad",,https://www.isro.gov.in/InternshipAndProjects.html,https://www.isro.gov.in/InternshipAndProjects.html,Space & Science,ISRO Internship / Student Project Trainee — SAC at ISRO. Satellite payloads and applications; apply to SAC Ahmedabad,Unpaid (most schemes),1–6 months,Open
